#{"t_start": 1789385749.8017635, "env_id": "None"}
r,l,t
14795.816469,5000,1926.621798
14791.002036,5000,1931.183793
14792.607419,5000,1936.598572
14799.08392,5000,1941.136148
14791.268705,5000,1946.600693
14788.093072,5000,1951.12286
14796.367624,5000,1956.517917
14789.524228,5000,1961.139766
14814.512334,5000,1966.453909
14789.282847,5000,1971.082457
14786.248941,5000,1975.682671
14810.195014,5000,1981.166299
14796.007653,5000,1985.806157
14811.454536,5000,1991.301303
14813.528408,5000,1995.921338
14799.973455,5000,2001.835258
14806.1257,5000,2006.433977
14830.01318,5000,2011.894253
14798.134518,5000,2016.536625
14804.360593,5000,2021.18574
14821.40615,5000,2026.609725
14803.724315,5000,2031.148798
14807.880407,5000,2036.658973
14812.828676,5000,2041.40924
14820.948852,5000,2046.85465
14832.666493,5000,2051.486039
14825.632996,5000,2056.120039
14832.27693,5000,2061.549782
14801.57159,5000,2066.229369
14838.196696,5000,2071.707053
41.636526,34,2071.731203
14815.033604,5000,2076.330943
14822.954743,5000,2081.839224
14792.57444,5000,2086.462857
14808.789124,5000,2091.973643
14792.644227,5000,2096.603092
14837.312394,5000,2101.208673
14812.008421,5000,2106.925288
14827.434183,5000,2111.465756
14815.216627,5000,2116.918136
14802.647568,5000,2121.549844
14799.94731,5000,2127.078616
14819.431524,5000,2131.724909
14784.535091,5000,2137.123102
14826.05103,5000,2141.743934
14813.702483,5000,2146.287294
14804.334258,5000,2151.781857
14791.931653,5000,2156.413136
14804.97655,5000,2161.837832
14796.743731,5000,2166.354784
14786.021592,5000,2171.833669
14803.689934,5000,2176.514176
14804.320534,5000,2182.071677
14780.976016,5000,2186.698788
14811.158961,5000,2191.286361
14805.139988,5000,2196.815917
14809.170059,5000,2201.433751
14763.277936,5000,2206.819807
14772.998545,5000,2211.423142
14774.102928,5000,2217.295666
14788.331404,5000,2221.89168
14772.037728,5000,2227.292301
14751.74063,5000,2231.846958
14781.103885,5000,2236.45466
14803.700912,5000,2241.917501
14781.448952,5000,2246.522013
14817.579485,5000,2251.860262
14788.020445,5000,2256.425319
14778.669582,5000,2261.877494
14770.371847,5000,2266.522763
14791.830297,5000,2271.141516
14759.582701,5000,2276.576615
44.530374,37,2276.594564
14793.059063,5000,2281.161364
14757.235584,5000,2286.631409
14770.730928,5000,2291.238645
14776.434526,5000,2296.657131
14784.719247,5000,2301.222853
14791.043545,5000,2306.669364
14787.40056,5000,2311.3064
14781.861659,5000,2315.939769
44.100618,38,2315.958535
14793.100501,5000,2321.915922
14796.027425,5000,2326.498262
14779.357255,5000,2331.909733
14820.247674,5000,2336.462959
14794.015174,5000,2341.951167
14788.617003,5000,2346.414118
14799.818573,5000,2351.793987
14792.68419,5000,2356.422925
14793.130614,5000,2361.084285
14801.072942,5000,2366.595279
14810.469448,5000,2371.213236
14792.701262,5000,2376.661368
14781.56447,5000,2381.252595
14788.909469,5000,2386.618386
14789.03187,5000,2391.242429
14802.320145,5000,2396.598798
14791.485731,5000,2401.188672
14789.250176,5000,2405.757568
14785.329995,5000,2411.295797
14809.208485,5000,2415.922453
14788.190783,5000,2421.291008
14805.375727,5000,2426.333311
14796.4697,5000,2431.79193
14813.194883,5000,2436.424173
14796.215679,5000,2441.81027
14816.580002,5000,2446.455053
14813.834348,5000,2451.070052
14820.117918,5000,2456.521407
14818.88205,5000,2461.096608
14801.416425,5000,2466.551613
14831.445886,5000,2471.229276
14811.971313,5000,2476.670669
14816.163974,5000,2481.341917
14821.352352,5000,2486.802656
14805.337356,5000,2491.393105
14806.432884,5000,2496.018602
14808.634782,5000,2501.575409
14809.854532,5000,2506.21962
14798.944733,5000,2511.589045
14806.442892,5000,2516.168052
14808.087344,5000,2521.670399
14807.178502,5000,2526.35173
14815.114625,5000,2531.056638
14812.81753,5000,2536.84858
14814.248955,5000,2541.435902
14813.513148,5000,2546.950509
14806.413456,5000,2551.607688
14812.068456,5000,2557.17727
14815.103729,5000,2561.790542
14814.319458,5000,2567.182926
14815.03972,5000,2571.853867
14813.933865,5000,2576.459514
14813.829042,5000,2581.971645
14813.50914,5000,2586.624329
14812.375915,5000,2592.087088
14813.902049,5000,2596.642361
14816.223039,5000,2602.14972
14807.487412,5000,2606.772371
14821.397535,5000,2612.189313
14832.801402,5000,2616.743057
14818.767168,5000,2621.365184
14826.037501,5000,2626.792364
14830.013492,5000,2631.338223
14829.231835,5000,2636.734493
14816.116267,5000,2641.366797
14804.057101,5000,2647.43614
14826.635237,5000,2652.04102
14819.817348,5000,2657.440024
14818.809225,5000,2662.043202
14812.82787,5000,2666.639336
14818.026134,5000,2672.1599
14828.918041,5000,2676.748576
14823.60349,5000,2682.171964
14811.357392,5000,2686.793103
14795.425579,5000,2692.248746
14797.268309,5000,2696.873785
14813.77274,5000,2701.487881
14820.342544,5000,2706.936827
14794.897362,5000,2711.537196
14790.6781,5000,2716.973387
46.427859,38,2716.992133
14820.715041,5000,2721.545817
14800.598313,5000,2726.955466
14787.37425,5000,2731.541327
14795.741072,5000,2737.017045
14805.506966,5000,2741.699388
14791.412302,5000,2746.326784
14790.698376,5000,2751.967892
14804.110906,5000,2756.89631
14802.631096,5000,2762.329824
14798.645555,5000,2766.912945
14817.902496,5000,2772.329957
